userid,uniqueID,gender,age,consumption,shopping,occupation
311,M926243,1,24,3,1,1
312,_9010106,1,25,2,3,2
313,\8075354,1,18,3,2,1
314,T9090751,1,24,1,2,1
315,?8061204,1,18,3,2,1
316,I911319,1,24,1,1,1
317,[9248883,0,19,1,3,2
318,P6651128,0,17,3,2,1
319,F9185333,1,24,2,2,1
320,@787460,0,16,2,2,1
321,F8462628,0,24,2,2,1
322,T66226,0,25,3,3,2
323,B9592122,0,22,3,3,2
324,[6712139,1,15,1,2,1
325,M6157243,0,22,1,3,2
326,S7539274,1,22,1,1,2
327,<7688137,0,24,3,1,2
328,_7032650,0,18,2,1,2
329,D8621230,0,15,3,1,2
330,M7586495,0,21,1,1,2
331,Y8121508,1,23,2,3,1
332,F6014872,0,23,3,3,1
333,M8777435,1,17,2,3,2
334,@957283,1,22,1,3,2
335,]892613,0,18,2,2,2
336,Q6942737,0,18,3,3,2
337,B6811455,1,20,3,1,2
338,T7035993,0,17,3,3,2
339,X8711830,1,17,2,2,1
340,R6433077,1,17,3,3,2
341,_7068947,0,17,1,2,2
342,>6757888,1,22,1,2,1
343,W8442399,0,21,2,3,1
344,U7740691,1,25,1,1,2
345,A9261911,1,21,1,3,1
346,<7957939,0,23,1,2,2
347,=6834731,1,19,2,1,1
348,B9253508,0,19,3,2,1
349,F8147950,0,24,3,3,1
350,I9235948,0,24,3,2,2
351,F6436062,1,18,3,2,1
352,V605634,0,17,3,2,2
353,W714424,0,24,3,1,2
354,C6520791,0,17,2,3,2
355,]8970781,0,24,2,2,2
356,K6483249,0,24,2,3,1
357,H9589170,0,17,3,1,1
358,J7099801,0,24,3,3,2
359,X8328288,0,19,3,1,2
360,J9043195,1,15,2,1,2
361,I8578255,1,16,1,3,1
362,A889073,1,17,1,1,2
363,T9569310,1,15,2,3,1
364,]95624,0,20,2,3,1
365,Q8385385,1,22,1,3,2
366,T654584,0,15,2,3,2
367,T8419716,1,15,3,1,2
368,C7684400,1,22,1,3,1
369,F9211817,1,20,1,2,2
370,M7261821,0,17,2,3,2
371,M8355054,1,16,2,3,2
372,L9389257,0,17,1,1,2
373,R8032174,0,19,3,1,2
374,D7016076,0,20,1,3,2
375,<9393766,0,16,2,3,1
376,D8184870,0,16,1,3,2
377,Y659290,0,20,3,1,2
378,Z8975638,1,24,1,1,2
379,R6694000,0,17,2,2,1
380,X6572676,0,25,2,2,1
381,R6532065,0,18,3,2,1
382,O825010,0,18,1,2,2
383,<895999,1,22,1,2,1
384,<832787,1,20,2,2,2
385,M681660,1,20,1,1,2
386,K9081136,0,23,3,2,1
387,K7255610,0,24,1,2,1
388,A6786275,1,23,2,3,1
389,Z8736420,1,23,2,2,2
390,\7489957,1,22,1,2,2
391,E8933816,1,22,2,1,2
392,C9157866,0,23,1,2,2
393,G8540140,1,18,3,2,1
394,J8627620,1,16,1,3,1
395,G7432671,0,18,2,2,1
396,D6855389,0,23,2,2,1
397,H8667692,1,21,1,3,1
398,E7728087,1,15,1,1,2
399,\6214187,0,20,3,1,2
400,U64318,0,16,2,3,2
401,U8239648,1,22,1,2,2
402,N8734026,1,19,2,3,2
403,\607292,1,22,1,3,2
404,L6967128,0,19,2,1,2
405,M7391228,0,19,3,1,2
406,Q7972544,0,16,3,3,1
407,?8915565,0,21,1,1,1
408,F9439917,1,24,2,3,2
409,A662055,1,20,2,1,2
410,T6291132,0,18,2,2,1
411,F7873838,1,20,3,2,1
412,T9452906,0,18,3,3,2
413,K6929482,0,19,1,2,2
414,Z8346204,1,22,2,2,1
415,Y9221215,0,17,2,2,2
416,S6716301,1,15,2,3,1
417,X7775708,0,17,3,1,1
418,Y7723204,1,15,2,1,1
419,K7757089,0,24,2,2,2
420,I8920625,1,17,1,1,1
421,H6936901,1,19,1,1,2
422,^8999797,1,15,2,2,2
423,I7622181,1,16,2,1,2
424,[7710049,1,17,2,2,2
425,C6332517,1,25,1,1,2
426,[6042726,0,25,1,2,2
427,[6486157,1,25,1,2,2
428,N742627,0,25,3,1,2
429,>6779774,1,24,1,2,2
430,W6754007,0,18,1,3,1
431,E7844961,1,20,3,1,1
432,G9324649,1,21,3,2,1
433,>8666549,0,20,2,1,2
434,Y9159055,0,23,3,1,2
435,X7113388,0,25,2,2,1
436,B689313,0,23,1,3,2
437,O8688147,1,23,1,1,1
438,=9444299,1,22,3,2,2
439,O8963563,1,21,2,2,1
440,V8790717,0,17,1,3,1
441,Y6047860,0,18,1,1,2
442,D7422684,1,16,1,2,1
443,C9287950,1,19,3,1,1
444,R833687,0,20,2,1,1
445,=7873778,1,18,3,2,1
446,@7717416,0,19,1,1,1
447,W7670268,0,20,1,1,1
448,[8770949,0,20,2,2,1
449,D9084567,0,17,2,2,1
450,P6015392,0,17,3,1,2
451,<7024074,1,15,2,2,1
452,[7536891,0,25,3,2,1
453,D6432653,1,24,2,3,2
454,P9149051,0,22,2,1,2
455,V625008,1,22,2,1,1
456,>6367618,0,20,2,1,1
457,B6276352,0,21,2,1,2
458,N6120346,1,25,2,3,1
459,^6822498,0,23,1,1,1
460,O6310518,0,25,2,3,1
461,T6274999,1,18,1,2,2
462,^7080597,1,17,1,1,1
463,>6967457,1,21,3,3,1
464,M6661732,0,16,3,2,1
465,>9463426,1,19,1,2,1
466,N8330461,0,24,3,2,1
467,[6035933,1,25,3,1,2
468,J7554937,1,24,1,1,2
469,=8051872,1,18,1,1,2
470,Z7395424,1,25,1,2,2
471,J7362777,1,23,2,2,2
472,>6935334,0,20,2,2,2
473,S793205,1,19,2,2,2
474,=7679423,0,16,1,1,1
475,Q8087859,1,16,3,3,2
476,K6340354,0,25,2,3,1
477,<7770289,0,15,2,1,1
478,M8981824,1,16,2,1,1
479,D9453369,0,20,3,1,2
480,B6355197,0,18,2,2,1
481,B8429492,0,25,3,2,2
482,R824566,0,23,2,3,1
483,S6283301,0,19,1,2,1
484,\9159003,0,24,3,3,1
485,H6917153,1,23,1,2,1
486,R6153844,0,15,2,1,1
487,=8118528,0,23,1,1,1
488,V8920947,0,24,1,2,2
489,L8776140,0,25,2,2,2
490,\7074431,0,22,2,3,1
491,K7172761,0,15,1,3,1
492,Y9445528,0,21,3,2,1
493,[9033375,1,22,1,2,2
494,T7326584,0,21,1,2,1
495,N8645094,0,22,1,1,1
496,G924428,0,16,1,1,2
497,R6069856,0,16,2,2,1
498,I8742445,0,16,3,2,1
499,L7257306,1,15,3,3,2
500,\8724319,1,18,1,3,1
501,N868489,1,21,2,1,2
502,^6167336,0,18,3,1,2
503,D9399654,1,22,3,2,2
504,@8634176,1,24,1,3,1
505,I6023674,0,25,2,3,1
506,K657321,1,19,3,2,1
507,>7246216,1,23,2,1,2
508,Y7999898,0,16,1,1,1
509,<6787129,0,20,3,1,2
510,^6469383,0,22,1,3,2
511,W7356236,0,16,1,2,1
512,M772074,1,23,3,3,2
513,K9386894,0,23,3,1,2
514,Z8192149,0,15,3,1,1
515,P914669,0,25,1,3,1
516,L6730764,1,16,2,2,1
517,N807905,0,23,3,1,2
518,W6919196,1,18,2,3,1
519,Y9278990,1,22,3,2,2
520,S8994503,1,24,1,1,2
521,Y8232875,0,17,3,2,2
522,[8975031,0,21,3,2,2
523,Q6253204,1,16,2,1,2
524,F6450267,1,22,1,2,2
525,K8115298,1,22,3,2,1
526,]8154190,0,16,1,3,1
527,>8685766,1,16,1,1,2
528,F6077420,0,23,1,1,1
529,@6688626,0,19,2,3,1
530,V6029188,0,22,3,3,1
531,L856991,0,18,1,2,1
532,C8527645,0,16,1,2,1
533,_7116259,0,17,2,2,1
534,N7332826,0,20,1,2,1
535,K7240421,0,24,2,1,2
536,A7785412,0,24,3,2,1
537,X6540133,1,17,1,2,1
538,S6558431,1,25,2,3,1
539,H6565190,0,25,1,1,1
540,N8581349,0,25,2,1,2
541,S8171783,0,20,2,3,2
542,I6262079,0,22,3,3,2
543,B6049509,0,15,1,1,1
544,I7995316,0,17,3,3,2
545,?7665814,1,19,3,2,1
546,O6936080,1,17,3,2,2
547,=7390097,1,16,2,3,2
548,Q6987451,1,19,3,1,1
549,I8543998,0,24,3,1,1
550,P6855695,0,23,1,3,2
551,C9163157,1,23,1,2,2
552,Y6785111,0,19,2,3,2
553,J9382196,1,25,1,2,2
554,G6780584,1,22,3,3,1
555,H8035599,1,21,2,2,1
556,Z9146406,0,18,3,3,2
557,_6740484,1,24,2,3,1
558,H9418019,1,19,2,1,1
559,C723911,0,17,2,2,2
560,D666703,0,19,2,3,2
561,_655248,0,24,2,2,2
562,Q6228552,1,19,1,2,1
563,H8313573,1,17,2,1,1
564,T9199606,1,20,2,2,2
565,M6525812,1,16,3,3,1
566,Q6375865,1,23,1,2,2
567,U6873415,1,17,1,2,1
568,]7324880,0,19,2,1,1
569,A7259123,0,17,2,2,1
570,K6687011,1,19,2,2,2
571,D8410329,0,23,1,3,1
572,S9311144,1,20,3,1,1
573,_8092176,1,20,3,1,1
574,J835153,1,16,2,2,1
575,]6112753,1,24,2,1,1
576,Q791191,0,17,2,1,2
577,Z7489181,1,17,3,2,2
578,E7076459,1,19,2,3,1
579,I8289355,0,17,1,2,2
580,E6253098,0,15,3,2,2
581,L768847,0,21,2,1,1
582,\7022042,1,19,2,2,1
583,C7113367,0,16,3,1,1
584,K9423691,1,20,3,1,1
585,V8758007,0,16,2,2,2
586,B7995868,1,21,2,1,1
587,\7343529,0,24,3,1,2
588,N8062781,0,21,1,3,2
589,Z9091773,1,16,2,3,1
590,^8937828,0,22,3,2,2
591,M866438,0,25,2,1,1
592,H7512241,1,17,1,2,2
593,L7231948,0,16,1,3,1
594,=7171152,1,17,2,3,1
595,S9082309,0,15,2,3,1
596,W8658817,1,23,2,1,2
597,U8865021,1,23,2,2,1
598,H8096391,0,20,3,3,1
599,_8977588,1,23,2,1,1
600,F7450462,1,22,1,3,1
601,V6288612,0,15,3,1,1
602,P9069218,1,18,3,3,1
603,V7068499,1,23,1,2,2
604,L9233662,0,23,3,1,1
605,[603310,1,18,1,3,1
606,]6042611,1,18,2,2,2
607,T8983426,0,22,1,1,2
608,^8923492,1,17,2,3,2
609,G661334,1,20,1,1,2
610,W7087857,0,18,1,2,2
611,W7538970,1,19,3,2,2
612,B6061652,1,24,1,2,1
613,Q6177297,1,23,2,2,1
614,S6691576,0,19,1,2,2
615,>8067977,1,23,1,2,1
616,]7262776,1,24,2,1,1
617,Z9380075,1,18,1,1,2
618,W9154734,1,24,1,3,1
619,M6673370,1,21,1,3,2
620,S9288463,1,23,1,2,2
621,?8644012,0,21,1,1,2
622,A8297264,0,24,2,2,1
623,T805042,0,20,2,1,1
624,U7027398,0,24,2,3,1
625,V6577728,1,18,3,1,1
626,X6094409,1,21,3,2,2
627,P8497367,1,17,3,1,2
628,V7891513,0,22,2,3,1
629,]7249253,0,22,3,1,1
630,?7139669,1,22,1,1,1
631,E9114981,0,20,1,3,1
632,^8372638,1,16,1,3,1
633,X8188731,0,21,2,3,2
634,Y7948377,0,16,1,1,1
635,Q6632096,0,15,1,2,1
636,>7327132,0,19,3,1,1
637,X6637988,1,20,3,1,1
638,P6578499,0,22,2,2,2
639,C6531529,1,22,2,2,2
640,E7785707,1,22,3,1,2
641,W7399223,0,22,1,1,2
642,D8055301,0,18,3,3,1
643,P9027206,1,21,1,2,2
644,<774302,0,23,3,3,2
645,H9288816,0,20,1,1,1
646,P7345073,0,16,3,3,2
647,<6117178,0,20,2,3,1
648,J6989299,0,24,3,3,2
649,]7667696,1,15,2,1,2
650,J8827615,0,17,1,3,1
651,M7940335,1,25,2,2,2
652,L6850814,1,25,1,1,2
653,A6217506,0,15,1,3,2
654,Z9467187,0,19,2,1,1
655,E6152384,0,25,1,3,2
656,_6742250,0,17,2,2,1
657,A8342507,1,21,3,1,1
658,@8781378,1,17,1,3,1
659,X7748847,0,15,3,1,2
660,I7861512,0,25,3,2,1
661,G9516191,1,22,1,1,2
662,=8850726,1,15,2,3,1
663,@6448480,1,16,1,3,1
664,F7189012,1,15,1,2,1
665,O6347378,1,20,3,1,2
666,C845323,0,16,1,2,2
667,^906833,0,25,1,2,1
668,T6843725,0,18,3,3,1
669,]7323899,1,18,3,2,1
670,U7062459,1,15,3,1,2
671,I8857925,0,17,1,1,2
672,V7536871,1,22,3,3,2
673,=6190391,1,19,2,2,1
674,Y6575747,0,15,1,1,2
675,\8983925,0,16,2,2,1
676,]91783,1,25,1,2,1
677,>7844551,0,18,2,3,1
678,L7587015,0,22,3,2,2
679,=6182585,1,18,2,2,1
680,C6461661,0,25,1,1,1
681,[6377543,1,25,1,3,1
682,C6854407,1,18,1,3,1
683,V6049201,0,18,2,3,1
684,Z6918304,1,15,3,3,2
685,E7457148,0,20,2,1,1
686,_8653653,1,24,1,3,1
687,C674053,1,18,3,3,2
688,G6172269,1,18,2,1,2
689,Z7936336,0,17,3,3,1
690,=6324744,1,19,2,1,2
691,W9184977,1,21,2,3,1
692,>8343966,0,19,3,3,1
693,H7485931,1,22,3,2,2
694,^8154363,0,25,2,2,1
695,>8185147,1,17,2,2,2
696,W7184317,1,23,2,1,2
697,S8280806,0,17,1,3,2
698,L7053426,0,18,3,2,2
699,D8545602,0,24,1,2,1
700,>8875312,1,18,1,1,2
701,G8524293,1,24,3,3,2
702,F93556,0,18,3,3,2
703,T7119237,1,24,3,3,1
704,K7682281,0,22,3,3,2
705,V7073918,1,21,1,3,1
706,I6384806,0,15,2,1,2
707,F7095412,0,16,2,2,1
708,C7896462,1,21,1,3,2
709,X8629968,0,21,3,1,2
710,P8688440,0,25,1,2,2
711,A6023502,1,20,2,3,2
712,X9372070,0,15,1,3,1
713,L6767086,0,20,3,1,1
714,>812327,1,23,2,1,2
715,A7390612,1,17,3,2,2
716,D6128714,1,24,3,3,1
717,J6136326,1,19,1,3,2
718,F8671587,1,18,3,1,2
719,Y704699,0,17,2,1,1
720,J9352078,1,25,3,3,1
721,L6824186,0,16,1,2,2
722,N7615702,0,24,2,3,1
723,Z7189780,0,20,3,2,2
724,E6384868,1,17,2,2,1
725,J8346458,0,15,2,1,1
726,D8459437,1,18,1,2,1
727,L7743814,1,16,2,1,2
728,I8555289,0,21,3,2,1
729,V8959678,1,25,1,1,2
730,N7959181,0,15,3,2,1
731,L957114,0,17,1,2,2
732,=7344003,1,19,2,3,2
733,N734616,1,18,1,2,1
734,N9090984,0,24,3,1,2
735,S6976321,1,25,3,2,1
736,@8940396,1,19,1,1,2
737,R6047856,1,17,3,2,1
738,N608068,1,19,2,1,2
739,V7043886,0,18,3,3,2
740,E6684288,0,22,1,1,2
741,Q6262557,1,15,3,3,2
742,E7753565,1,17,2,3,2
743,X9566366,1,15,2,3,1
744,Y7234255,0,21,2,1,2
745,L9082589,1,24,3,1,1
746,>6548141,1,19,1,1,2
747,I6662049,1,21,1,2,1
748,>6442211,0,23,2,3,1
749,P9185302,1,21,2,1,1
750,@7643123,1,21,3,2,1
751,@73147,1,23,2,1,1
752,=7353888,1,24,2,1,2
753,F7295110,1,19,3,1,1
754,C7158107,0,19,3,2,1
755,D6384914,0,18,3,1,1
756,Z7185457,1,21,2,2,1
757,_6662994,1,21,3,2,2
758,B9488523,0,22,3,2,1
759,M6747773,0,17,1,2,1
760,E8660521,0,15,3,3,1
761,I7759298,1,21,2,2,2
762,T9286982,1,23,3,1,2
763,P6138909,0,24,1,2,1
764,J6217459,0,20,1,2,2
765,C9223633,0,22,1,3,2
766,>8285545,0,15,1,2,1
767,[7269013,1,17,1,2,2
768,G8923306,1,23,2,1,2
769,F9141023,1,20,3,2,2
770,T9137285,0,18,1,3,1
771,^7872180,0,17,3,2,1
772,V8051027,0,23,3,3,1
773,F7964427,1,15,3,3,1
774,]8511983,1,16,1,3,2
775,J9560956,1,15,1,2,1
776,L7595455,1,25,2,3,2
777,B6172475,1,19,2,3,2
778,_8086479,1,22,3,1,2
779,?8013584,1,22,1,3,2
780,?9419297,1,25,2,2,2
781,<6845567,1,19,1,1,2
782,\9220719,1,25,3,1,2
783,D7773673,0,17,1,3,1
784,X8131405,1,15,1,1,2
785,O6957089,1,24,3,3,1
786,J827499,1,15,3,2,1
787,P7157100,1,20,2,2,1
788,@7111275,1,21,1,2,2
789,U6713720,0,19,3,3,1
790,N6132651,1,22,3,1,2
791,I7743020,0,23,2,1,2
792,Z9495493,1,15,1,3,2
793,@8135623,0,18,3,3,1
794,U6669662,0,23,2,3,2
795,B8186347,0,18,1,3,1
796,A9049578,1,16,1,2,1
797,K9049917,0,21,2,3,2
798,F6674703,0,24,1,2,1
799,^6514748,0,23,3,2,1
800,O9443280,1,23,1,3,2
801,B8669985,0,18,2,1,2
802,\9432435,0,16,3,1,1
803,[6373896,1,22,1,2,1
804,?7249363,0,18,2,2,1
805,C7559658,1,19,1,1,2
806,>9535738,1,22,1,1,1
807,N6460194,0,17,1,3,2
808,@7174387,1,20,2,3,1
809,F7925380,0,21,3,1,2
810,A8862209,1,19,2,3,2
811,B7119003,1,20,3,1,2
812,I8023729,1,23,3,3,1
813,<7148067,0,16,1,3,1
814,F6235650,0,23,2,3,1
815,?838071,1,18,2,3,2
816,Z6288216,0,18,2,1,2
817,Z6355836,0,19,3,3,1
818,^7634603,1,21,1,3,1
819,D6810306,1,19,1,2,2
820,[6426320,1,25,2,1,2
821,W6849277,1,19,2,2,1
822,B7730513,1,24,2,3,2
823,A6340888,0,22,2,3,2
824,_7992468,1,24,3,3,1
825,Z7825744,0,23,2,1,2
826,D683514,1,17,1,1,1
827,O7925966,0,25,3,1,1
828,Y8946155,0,17,1,1,2
829,R833118,1,21,3,1,2
830,<8198810,0,25,2,3,1
831,]8932761,0,16,2,1,1
832,\9443886,1,15,1,2,1
833,S6121106,1,16,1,3,2
834,F7247661,1,17,1,3,1
835,K747838,1,15,2,1,2
836,C6394683,0,22,3,2,2
837,B8296943,1,17,1,3,1
838,W9081567,0,18,2,2,2
839,U8625802,1,19,3,3,1
840,D6723084,1,18,2,1,2
841,P7533265,0,25,2,3,1
842,K6428098,1,20,1,1,2
843,D6671907,0,16,1,1,1
844,>7950727,0,21,2,3,1
845,T8117515,0,25,1,1,2
846,B7071373,1,16,1,1,2
847,O7871485,1,16,3,2,2
848,A7371845,1,17,2,2,1
849,B9119795,0,16,3,2,1
850,Y9114909,0,15,1,1,2
851,V6042923,0,16,3,1,2
852,P7752756,1,22,1,3,2
853,Y8978338,0,19,1,3,1
854,G9473450,0,19,2,3,1
855,A7685949,0,25,3,3,2
856,K6245276,0,20,2,1,1
857,K7773645,0,25,3,3,2
858,K7768389,1,18,3,2,2
859,U8823624,1,23,1,3,1
860,>8855121,1,15,3,2,2
861,H8420004,1,25,2,2,1
862,?7684013,1,24,3,3,1
863,[6993457,0,24,3,1,2
864,\7155986,1,21,2,2,2
865,L8457072,0,20,3,2,2
866,E6882984,0,23,2,2,1
867,N7837618,1,19,3,3,2
868,I8886929,1,17,3,2,1
869,>9397297,0,15,1,3,2
870,H9557929,1,24,1,2,1
871,C8058443,0,19,1,3,1
872,J8514512,0,20,3,2,1
873,L7779817,1,17,2,3,2
874,Q8327646,0,23,3,3,1
875,Q706787,0,16,1,3,1
876,Y6479937,0,18,1,1,2
877,?78865,1,24,1,2,2
878,N6361870,0,20,3,2,2
879,I8930018,0,17,1,2,2
880,_7291887,1,25,2,1,2
881,X8929198,1,15,3,1,2
882,P6842117,1,18,2,3,1
883,B7650306,1,19,2,2,2
884,?9554911,0,22,3,3,2
885,W8677356,1,22,2,2,1
886,R9135013,0,20,3,2,2
887,F8549091,1,19,1,3,2
888,S7059164,0,22,1,1,1
889,R6981032,1,21,3,3,2
890,>9573460,1,23,2,2,1
891,_7718507,0,21,2,2,2
892,S6482257,1,24,3,1,2
893,]8846179,0,17,1,1,2
894,[952933,0,21,2,3,1
895,W7692457,1,18,3,2,2
896,L9379012,0,17,3,1,2
897,L9349397,0,20,3,3,1
898,Q8960793,1,25,1,1,2
899,G7896839,0,18,3,1,1
900,M7357131,0,20,1,2,1
901,A9226443,1,17,1,1,1
902,F6816901,1,25,3,3,2
903,J8653445,1,22,3,2,2
904,S7055054,1,24,3,2,1
905,E7053617,1,23,2,1,2
906,\862889,0,22,2,2,1
907,D6344474,1,23,2,2,2
908,F8553493,1,18,1,1,1
909,[8321269,1,22,2,1,1
910,N6614865,0,15,3,2,1
911,]8083416,0,24,1,3,2
912,M7064118,0,22,2,3,2
913,P6510810,1,25,1,3,2
914,J7367469,0,24,2,1,2
915,I6651691,1,17,1,3,2
916,N6448544,1,25,1,3,2
917,<6825688,1,16,1,1,1
918,\6525196,1,22,2,2,1
919,E9444974,1,24,3,1,2
920,V7426022,0,25,1,2,1
921,@6782746,0,22,2,3,1
922,Q8426873,1,15,2,2,2
923,P7431322,1,25,3,2,2
924,P8331775,1,23,2,1,2
925,N8752175,0,15,3,2,1
926,@9160319,1,19,1,3,1
927,O9449524,1,19,1,3,1
928,B6987107,1,24,2,2,2
929,M9134899,0,18,3,1,1
930,>7527104,1,19,3,3,2
931,U7278646,1,22,3,1,2
932,N8039312,0,16,1,1,2
933,A8192172,0,24,2,2,2
934,H6671347,0,18,1,3,2
935,Y7180782,0,25,1,3,2
936,B6721982,1,22,2,3,2
937,A9485985,1,23,3,3,2
938,Z9426884,0,21,1,1,2
939,A7363865,1,15,2,1,1
940,[7978829,1,22,1,3,2
941,P8756905,0,25,3,2,1
942,C8260112,0,25,2,2,2
943,Z6527528,0,21,1,2,2
944,R8678779,0,19,1,1,2
945,P9157038,0,16,2,1,2
946,?7863543,1,21,2,2,2
947,Y9242593,0,21,2,2,1
948,>9435186,1,21,3,2,1
949,=8165494,0,19,2,3,1
950,S7370349,1,19,3,3,2
951,_9075254,1,25,1,2,1
952,T7123889,0,17,1,1,1
953,^7547644,0,15,3,3,2
954,P8831059,1,20,3,2,1
955,S8197856,1,22,1,2,1
956,G6671486,0,23,3,2,2
957,J6974719,0,16,3,3,1
958,<604576,1,21,2,3,1
959,L8632753,1,24,2,2,1
960,^6860246,1,20,2,3,1
961,N8997747,1,22,1,3,1
962,@8078105,1,24,1,3,2
963,?8650264,1,22,3,1,2
964,A6467267,1,18,2,1,1
965,?9467582,1,19,2,2,1
966,[8437373,0,16,3,3,1
967,H8290745,0,19,3,2,2
968,A6825495,1,18,2,2,1
969,]9314703,0,24,1,3,2
970,D6561664,1,19,1,1,1
971,[7797421,0,17,2,2,1
972,R7857088,1,17,1,2,1
973,X7544786,1,18,1,2,1
974,?7623167,1,16,2,1,1
975,^8440143,1,15,2,1,2
976,J6194533,0,19,1,3,1
977,[6170722,0,24,2,2,2
978,N6113236,1,18,2,2,2
979,=6471972,1,15,3,1,1
980,U8561361,1,19,3,2,2
981,[9287213,1,24,3,2,2
982,J6017861,1,19,2,2,2
983,O7096392,0,25,3,2,2
984,Z7442125,0,25,1,2,1
985,>674154,1,18,2,3,2
986,K813237,1,18,1,1,1
987,K7327713,1,24,2,3,2
988,T9023931,1,21,3,1,1
989,M9583177,0,15,1,1,2
990,Q8662667,1,23,3,3,2
991,U727849,0,21,1,1,1
992,U6140339,1,24,2,3,2
993,C6276695,1,22,2,1,2
994,]8711963,0,25,2,1,2
995,L7492900,0,19,3,2,2
996,Z6296420,0,20,2,2,2
997,[6137886,0,16,2,2,1
998,U95842,0,19,2,1,2
999,N8244182,0,25,3,1,2
1000,W6896431,1,16,1,2,2
1001,K6271507,1,15,1,1,1
1002,Q8940872,1,15,1,3,2
1003,K9352443,1,17,3,2,2
1004,X7935792,0,17,2,2,1
1005,A879434,1,22,1,1,2
1006,@7523124,0,22,2,2,1
1007,N9293194,0,18,1,3,2
1008,D8456998,0,22,3,3,1
1009,P6234301,1,17,2,3,1
1010,A8423610,1,19,3,3,2
1011,K9344678,0,24,1,3,1
1012,J903077,1,21,2,2,2
1013,H6739304,1,22,2,1,1
1014,S6465220,1,18,3,1,1
1015,B7512528,1,20,1,1,2
1016,R7231269,1,21,3,3,2
1017,E8990914,0,15,2,2,2
1018,G7420277,0,24,1,1,2
1019,R7587129,0,16,3,3,2
1020,Q6281198,1,17,3,3,2
1021,=9370768,1,16,2,2,2
1022,E661897,0,23,1,2,2
1023,F6712074,0,20,1,2,1
1024,N7812492,1,20,2,1,2
1025,L6396476,0,22,3,3,2
1026,Q624617,1,18,2,1,2
1027,L8166725,1,15,3,2,1
1028,]7250557,1,24,3,3,2
1029,U9373300,1,17,1,2,1
1030,Y919778,0,25,2,2,1
1031,E7867712,0,18,1,1,1
1032,U8098759,0,18,1,2,2
1033,\6296061,1,18,2,3,2
1034,O8177269,0,23,1,3,1
1035,C6856724,1,22,3,3,1
1036,_8886988,1,21,1,2,1
1037,[7416739,1,19,1,3,1
1038,\9296336,0,23,1,3,2
1039,V6189249,1,22,3,2,1
1040,Q7942260,1,23,2,1,2
1041,?754251,0,22,2,1,2
1042,?9165120,0,17,2,1,1
1043,]6748369,0,25,3,1,1
1044,C7174596,1,23,1,3,2
1045,<8863178,1,24,1,1,1
1046,T6115352,0,19,2,3,1
1047,N9592933,0,16,1,2,2
1048,P7077763,0,17,2,3,2
1049,E7632974,0,20,2,3,2
1050,I8889148,0,18,2,1,1
1051,C708460,0,20,2,3,2
