userid,gender,age,consumption level,shopping level, occupation level,ad1,ad2,ad3,ad4,ad5,CTR VALUE
296,0,25,1,3,2,1,0,1,1,0,3
297,0,24,1,2,1,1,1,0,0,1,3
298,1,17,3,2,1,1,0,0,0,1,2
299,1,25,3,1,1,1,1,1,1,1,5
300,1,19,2,3,2,1,0,0,1,1,3
301,0,23,3,2,1,1,0,0,0,1,2
302,0,17,3,2,2,0,1,0,0,0,1
303,1,17,3,2,2,0,0,1,1,1,3
304,1,23,3,3,1,1,0,1,0,0,2
305,0,20,3,3,1,0,1,0,1,0,2
306,1,21,1,3,1,1,1,0,0,1,3
307,0,17,1,2,1,1,1,0,1,0,3
308,0,20,2,3,2,0,1,1,1,1,4
309,0,23,1,3,1,0,0,0,0,0,0
310,1,24,2,1,2,1,0,0,1,1,3
311,1,19,3,3,1,0,1,1,1,0,3
312,1,15,1,2,2,1,0,0,1,0,2
313,0,21,2,1,1,0,1,1,0,0,2
314,1,17,2,1,1,0,0,0,1,1,2
315,1,18,1,1,1,1,0,1,1,1,4
316,0,20,2,1,1,1,1,1,1,0,4
317,0,16,2,3,2,1,0,1,0,0,2
318,1,24,1,3,2,1,1,1,0,0,3
319,1,25,3,3,2,0,1,1,1,0,3
320,0,16,1,3,2,0,0,1,0,1,2
321,1,15,2,2,1,1,1,0,0,1,3
322,0,20,3,3,2,0,1,0,0,0,1
323,1,20,3,3,1,0,0,1,0,1,2
324,0,24,2,2,2,0,1,0,1,0,2
325,1,23,1,3,1,0,1,0,1,1,3
326,1,24,2,3,1,0,1,1,1,1,4
327,0,16,1,2,2,1,1,1,0,1,4
328,0,15,2,2,1,1,0,0,0,0,1
329,1,16,2,2,2,0,0,1,0,1,2
330,0,21,3,3,1,0,1,0,0,0,1
331,1,23,2,1,1,0,1,0,0,0,1
332,1,23,3,3,1,0,1,0,0,1,2
333,0,18,1,2,2,0,0,0,0,1,1
334,1,22,3,3,1,0,0,0,1,0,1
335,0,18,2,3,1,1,1,0,0,1,3
336,1,23,2,1,2,0,0,0,1,1,2
337,0,23,2,2,1,0,0,0,1,0,1
338,1,23,2,1,2,1,1,1,1,0,4
339,0,15,3,2,2,0,0,1,0,0,1
340,0,19,3,1,1,1,1,1,1,1,5
341,1,19,2,1,1,1,0,0,1,0,2
342,0,24,1,3,2,1,0,0,1,1,3
343,0,18,2,3,1,1,1,1,0,0,3
344,0,18,2,3,2,0,0,0,0,0,0
345,1,21,1,3,1,0,1,0,1,1,3
346,1,16,1,1,2,1,1,0,0,0,2
347,1,16,2,2,1,0,0,1,1,1,3
348,0,17,3,1,2,0,1,0,0,0,1
349,0,21,3,2,1,1,1,1,0,0,3
350,0,22,2,3,1,1,1,1,0,0,3
351,0,21,1,3,2,0,0,1,0,1,2
352,1,24,2,1,1,1,1,1,1,0,4
353,1,20,1,3,1,0,0,1,1,1,3
354,1,15,2,3,1,0,0,0,0,0,0
355,0,19,3,3,2,0,0,1,0,0,1
356,0,24,2,1,2,1,1,0,1,0,3
357,1,23,3,1,2,0,0,0,0,1,1
358,0,21,3,2,2,0,1,0,1,0,2
359,0,16,2,2,1,0,0,0,1,0,1
360,1,25,2,2,2,1,0,1,1,1,4
361,0,16,3,2,2,1,1,0,0,0,2
362,0,18,2,1,2,1,0,0,0,1,2
363,1,22,1,2,2,1,1,1,1,1,5
364,1,15,1,1,2,0,1,1,1,0,3
365,1,15,2,1,1,0,0,0,1,0,1
366,1,16,1,2,1,0,0,1,0,1,2
367,0,23,1,1,2,1,0,1,1,1,4
368,1,16,2,2,1,0,0,1,1,0,2
369,1,20,1,2,2,1,0,0,0,0,1
370,1,18,1,1,2,0,1,0,0,0,1
371,0,18,2,2,1,1,0,1,0,1,3
372,1,17,1,1,2,0,0,1,0,0,1
373,1,19,2,2,1,1,1,1,1,1,5
374,0,22,1,3,2,1,1,1,1,0,4
375,0,15,1,2,1,1,0,1,0,1,3
376,1,18,2,2,1,1,1,0,1,0,3
377,0,15,2,2,1,1,1,1,0,1,4
378,0,24,3,3,2,0,0,1,1,0,2
379,1,18,1,3,1,0,1,0,0,1,2
380,1,23,3,1,1,0,1,0,1,0,2
381,0,15,3,2,2,1,1,0,0,0,2
382,1,23,1,3,1,1,1,1,0,0,3
383,1,24,3,1,2,1,0,1,1,0,3
384,0,25,2,2,2,0,1,0,0,1,2
385,0,16,1,2,2,0,1,1,1,0,3
386,1,16,2,1,2,0,1,0,0,0,1
387,0,20,1,1,2,0,1,0,0,1,2
388,0,22,3,2,2,1,1,0,0,1,3
389,0,16,3,1,1,1,1,0,0,1,3
390,1,22,3,1,2,1,1,0,0,1,3
391,0,25,2,3,2,0,0,0,0,1,1
392,1,18,1,1,2,0,1,1,0,0,2
393,1,16,3,2,1,0,1,0,0,1,2
394,1,17,3,2,2,0,1,1,1,0,3
395,0,15,1,1,2,0,1,1,0,1,3
396,1,16,3,3,2,0,1,1,1,0,3
397,1,20,1,2,2,0,1,0,0,1,2
398,0,25,1,2,1,1,1,0,0,0,2
399,1,21,3,2,2,1,1,0,0,1,3
400,0,16,1,1,1,1,0,0,1,0,2
401,0,17,1,1,2,0,0,0,1,1,2
402,1,15,1,3,1,0,1,0,1,1,3
403,1,22,1,3,1,0,1,1,1,0,3
404,1,15,1,1,2,1,0,0,0,1,2
405,0,21,2,3,1,1,0,0,0,1,2
406,0,20,3,2,2,0,0,0,0,1,1
407,1,16,2,3,1,1,0,1,0,0,2
408,0,15,2,3,1,0,0,0,0,1,1
409,1,21,1,1,2,0,0,0,1,0,1
410,0,23,1,3,1,0,1,1,0,1,3
411,1,23,3,1,2,1,0,1,0,1,3
412,1,17,3,2,1,0,1,1,0,0,2
413,0,20,2,3,1,0,0,1,0,1,2
414,0,21,3,3,2,1,1,0,0,1,3
415,1,18,3,2,1,1,0,1,1,1,4
416,1,21,2,1,1,0,0,1,1,1,3
417,1,22,3,2,1,0,0,0,1,0,1
418,1,19,2,1,2,1,0,1,1,1,4
419,1,25,2,1,1,1,1,1,1,1,5
420,0,15,2,2,2,0,1,0,1,1,3
421,0,16,3,2,1,0,1,1,0,1,3
422,0,15,3,3,2,0,1,0,0,0,1
423,1,24,2,3,1,1,0,1,1,1,4
424,1,17,2,3,1,1,0,0,0,0,1
425,1,16,2,3,2,1,0,0,1,0,2
426,1,18,1,2,1,0,1,0,1,1,3
427,0,21,3,3,2,1,1,1,0,1,4
428,0,24,3,3,2,0,0,0,1,0,1
429,1,18,3,1,1,0,0,0,0,1,1
430,0,20,1,3,1,1,1,0,1,0,3
431,1,16,2,3,1,1,0,0,1,0,2
432,0,23,3,2,1,1,1,1,1,0,4
433,1,19,2,3,2,1,1,1,0,1,4
434,0,23,1,3,2,1,1,1,0,0,3
435,1,16,1,2,1,0,1,0,1,1,3
436,1,18,3,1,1,1,0,0,0,1,2
437,1,22,2,2,2,1,1,0,1,1,4
438,0,17,3,2,2,0,1,0,1,1,3
439,0,25,2,1,1,1,0,1,0,1,3
440,1,16,3,2,1,1,0,1,1,0,3
441,0,15,2,3,2,0,0,0,0,0,0
442,1,20,2,2,2,1,0,0,0,1,2
443,0,15,1,1,1,1,1,0,1,0,3
444,1,24,2,2,1,1,0,0,1,1,3
445,0,16,2,3,2,1,0,0,0,0,1
446,0,17,1,3,2,1,1,0,1,0,3
447,1,18,1,2,2,1,1,1,0,1,4
448,1,22,1,2,1,0,1,1,0,0,2
449,0,17,2,3,1,1,0,0,0,1,2
450,1,21,3,2,1,0,1,0,1,1,3
451,1,23,3,1,2,0,0,1,0,1,2
452,0,17,3,2,1,0,1,1,0,1,3
453,1,21,1,2,2,0,1,0,0,0,1
454,0,25,3,2,1,1,0,0,0,0,1
455,0,18,2,2,2,0,0,0,1,1,2
456,1,16,1,2,1,0,1,1,1,0,3
457,1,21,2,1,1,1,1,1,1,1,5
458,1,20,3,2,2,1,1,1,0,1,4
459,0,25,3,1,1,1,0,0,0,0,1
460,0,23,3,2,1,0,0,1,0,1,2
461,1,23,3,2,1,1,1,0,1,0,3
462,0,17,1,2,2,1,0,0,1,0,2
463,1,18,3,1,1,0,0,1,1,1,3
464,1,19,3,2,1,1,1,0,0,1,3
465,1,16,1,3,2,0,0,1,1,0,2
466,1,20,1,3,2,1,1,0,0,0,2
467,1,25,2,2,1,1,1,1,1,1,5
468,1,22,3,3,2,1,0,1,0,1,3
469,0,24,2,1,1,1,0,0,1,1,3
470,0,21,2,3,1,0,1,1,0,0,2
471,0,15,3,3,1,1,1,0,0,0,2
472,1,18,1,1,1,1,1,0,1,0,3
473,0,22,1,3,2,0,1,1,0,0,2
474,1,15,3,3,2,1,1,0,0,0,2
475,1,18,3,3,1,0,1,1,0,0,2
476,0,15,2,1,1,1,1,1,1,0,4
477,1,20,1,1,1,0,1,1,1,1,4
478,1,25,3,3,2,1,0,0,0,0,1
479,1,22,1,2,1,0,1,1,0,1,3
480,0,17,1,2,1,1,1,0,0,1,3
481,1,17,2,1,2,0,0,0,1,0,1
482,0,15,3,2,2,0,0,0,1,0,1
483,0,18,2,2,1,1,0,0,0,1,2
484,1,25,3,1,1,1,0,1,1,1,4
485,1,17,1,2,1,0,1,0,0,0,1
486,1,20,2,3,2,1,0,1,0,1,3
487,0,22,3,1,1,0,0,0,0,1,1
488,0,17,2,2,1,1,1,0,0,0,2
489,1,25,2,2,1,0,0,1,1,0,2
490,0,21,3,3,2,0,0,1,0,0,1
491,1,16,2,1,1,1,0,1,1,0,3
492,0,18,2,3,1,1,1,0,1,1,4
493,0,21,1,1,1,0,0,1,0,0,1
494,1,24,2,3,2,0,1,0,1,1,3
495,1,25,2,2,2,1,1,0,0,0,2
496,1,24,2,1,1,1,1,0,1,0,3
497,1,16,2,3,2,0,1,1,0,1,3
498,0,23,3,3,2,1,0,0,1,1,3
499,1,25,2,3,1,0,0,0,1,0,1
500,1,15,2,3,2,1,0,1,1,0,3
501,1,18,1,2,2,1,1,0,1,1,4
502,0,16,3,1,2,1,0,0,1,1,3
503,1,15,1,3,1,0,1,1,0,0,2
504,0,18,3,1,2,0,1,1,0,0,2
505,0,21,2,3,1,1,1,1,1,1,5
506,1,20,3,3,2,0,0,0,1,1,2
507,1,18,2,3,2,0,1,0,1,0,2
508,0,19,3,3,1,1,0,1,0,1,3
509,1,25,3,3,1,0,0,0,0,1,1
510,1,21,3,1,2,1,0,0,0,1,2
511,1,23,2,2,1,0,0,0,0,0,0
512,0,22,2,3,2,0,1,1,0,0,2
513,0,19,3,2,2,1,0,0,0,1,2
514,0,22,3,1,1,1,0,0,0,1,2
515,1,20,2,3,2,0,1,1,1,1,4
516,0,22,3,1,1,0,1,0,0,0,1
517,1,21,3,1,2,0,1,1,0,0,2
518,0,23,3,3,2,0,1,0,1,0,2
519,1,18,2,2,1,1,0,1,1,0,3
520,1,23,2,1,2,1,0,1,1,1,4
521,1,19,3,3,2,0,1,1,0,1,3
522,0,21,1,2,1,1,0,0,0,1,2
523,0,21,2,3,2,1,0,0,1,1,3
524,1,25,1,3,1,1,0,1,1,1,4
525,0,15,3,3,2,0,0,0,1,0,1
526,1,22,2,2,1,0,0,1,0,0,1
527,0,19,2,1,1,1,1,1,0,1,4
528,1,23,2,3,1,1,0,1,0,1,3
529,1,19,3,3,2,0,1,1,1,0,3
530,0,19,1,2,2,1,0,0,1,1,3
531,0,19,2,1,1,1,0,1,0,1,3
532,1,20,2,2,1,1,1,0,1,0,3
533,1,25,1,3,2,0,0,1,0,0,1
534,1,15,2,1,2,0,1,1,1,1,4
535,1,18,3,1,2,1,1,1,1,0,4
536,1,20,1,3,1,1,1,1,0,1,4
537,0,19,2,1,2,1,1,0,1,1,4
538,1,16,3,3,1,1,0,0,1,1,3
539,1,15,1,2,1,1,1,1,0,0,3
540,1,21,3,2,2,1,1,0,0,0,2
541,1,23,1,3,1,0,0,1,1,1,3
542,0,23,2,3,2,1,1,1,0,1,4
543,1,22,1,3,2,1,1,0,0,0,2
544,0,16,3,1,1,1,1,0,1,0,3
545,0,20,2,1,2,1,0,0,0,0,1
546,1,22,2,1,1,1,1,0,0,1,3
547,1,25,1,1,2,1,1,1,0,0,3
548,0,20,3,1,2,1,1,1,0,0,3
549,0,19,1,1,2,0,1,1,0,0,2
550,0,21,1,1,2,1,1,1,1,1,5
551,0,20,1,3,2,0,0,1,0,1,2
552,1,21,1,2,2,0,0,1,1,0,2
553,0,19,3,3,1,1,0,1,0,0,2
554,1,16,3,2,2,1,1,0,1,0,3
555,0,17,1,2,1,0,1,1,1,1,4
556,0,25,2,1,2,0,1,1,1,1,4
557,1,20,3,1,2,1,1,0,1,0,3
558,1,22,2,3,2,0,1,1,0,1,3
559,0,24,3,2,1,0,0,1,0,1,2
560,1,21,2,3,1,0,1,1,0,1,3
561,0,16,1,2,2,1,0,1,0,1,3
562,1,25,3,2,2,0,0,1,1,0,2
563,0,20,3,1,1,1,1,0,1,1,4
564,0,21,3,2,1,0,0,0,1,0,1
565,0,16,1,1,2,0,0,1,1,0,2
566,0,21,3,3,2,1,1,0,1,0,3
567,1,24,2,2,2,0,0,0,1,0,1
568,0,17,1,2,1,0,0,0,1,1,2
569,1,23,3,3,1,0,1,0,0,1,2
570,0,17,3,1,1,1,0,1,0,0,2
571,1,22,3,3,1,1,1,1,1,0,4
572,1,19,2,1,2,1,0,0,0,1,2
573,1,19,1,1,2,1,1,0,0,0,2
574,1,16,3,1,1,0,1,1,0,0,2
575,1,22,1,3,1,0,1,0,1,1,3
576,0,18,3,1,2,1,1,1,1,0,4
577,0,21,1,2,2,1,1,1,0,1,4
578,0,16,1,2,2,0,1,0,0,0,1
579,0,15,2,2,1,0,1,0,1,1,3
580,0,24,1,2,1,1,1,1,1,1,5
581,0,25,1,2,1,1,0,1,1,1,4
582,1,16,2,3,2,0,0,0,0,0,0
583,1,22,1,1,1,0,0,0,0,0,0
584,1,17,3,1,1,1,1,0,1,0,3
585,1,24,3,2,1,0,1,1,1,1,4
586,1,20,3,1,1,0,0,1,1,1,3
587,1,23,3,3,1,0,1,1,1,1,4
588,1,17,1,1,2,1,0,0,0,1,2
589,1,23,1,2,1,1,1,1,0,0,3
590,1,17,3,1,1,1,0,0,0,0,1
591,1,20,2,2,1,1,1,0,0,1,3
592,1,16,1,3,2,1,0,1,0,0,2
593,0,24,2,1,1,1,0,0,1,0,2
594,0,18,1,3,1,0,0,1,1,0,2
595,1,17,1,1,2,1,1,0,0,0,2
596,1,20,2,3,2,1,0,0,0,0,1
597,1,19,1,1,2,0,0,0,1,1,2
598,0,18,2,1,2,0,0,0,1,0,1
599,0,19,1,3,1,1,0,1,0,0,2
600,0,15,1,1,1,0,0,1,0,0,1
601,0,21,3,1,2,0,0,1,0,0,1
602,0,25,2,2,2,1,1,0,0,1,3
603,0,19,3,3,1,1,1,1,1,1,5
604,0,19,3,2,2,0,0,0,1,0,1
605,1,19,3,3,2,0,0,1,0,0,1
606,0,23,1,1,1,1,0,1,0,0,2
607,1,22,2,1,1,1,0,1,0,1,3
608,0,25,2,1,2,1,1,1,0,0,3
609,1,17,2,1,1,1,0,0,0,1,2
610,1,21,3,2,1,0,1,1,0,0,2
611,1,25,2,3,2,1,1,1,1,1,5
612,0,17,1,2,1,0,1,0,1,0,2
613,0,24,2,3,1,1,1,1,1,1,5
614,1,22,2,3,2,1,1,0,0,0,2
615,1,16,3,3,1,0,1,0,0,1,2
616,0,19,2,3,1,1,0,1,1,1,4
617,0,15,1,3,1,1,0,0,1,1,3
618,1,18,2,3,2,0,1,0,0,0,1
619,0,23,2,2,1,0,1,1,0,0,2
620,0,16,1,1,1,0,0,0,0,1,1
621,1,15,2,2,2,0,0,1,0,1,2
622,0,21,2,3,1,0,1,1,0,1,3
623,1,20,3,3,2,1,0,1,1,1,4
624,0,23,2,1,1,1,0,0,1,1,3
625,1,18,1,2,1,0,1,0,0,0,1
626,0,19,1,3,2,1,0,1,0,1,3
627,0,17,3,1,1,0,1,0,1,1,3
628,0,18,1,2,2,1,0,0,1,1,3
629,0,24,3,3,2,0,0,0,0,0,0
630,1,17,1,3,2,1,1,0,0,0,2
631,1,16,2,1,2,1,0,0,0,1,2
632,1,21,1,1,2,1,0,0,0,1,2
633,0,17,3,3,2,1,1,0,1,1,4
634,1,18,3,1,2,1,1,0,1,1,4
635,1,24,1,3,1,0,0,0,1,1,2
636,1,24,3,1,2,1,0,0,1,1,3
637,1,20,3,3,1,0,1,0,0,0,1
638,0,20,3,3,1,0,1,1,1,0,3
639,0,19,3,2,1,1,0,1,1,1,4
640,0,19,3,2,1,1,0,0,1,0,2
641,0,16,2,3,1,1,1,0,1,0,3
642,1,17,3,2,2,1,1,0,0,1,3
643,0,25,2,2,1,0,0,0,1,0,1
644,0,20,2,3,2,0,0,1,1,1,3
645,1,22,1,2,1,0,1,1,1,1,4
646,0,15,3,3,1,1,0,1,0,1,3
647,1,17,1,1,2,1,1,1,1,0,4
648,0,24,1,3,2,0,0,1,1,1,3
649,1,18,1,3,2,0,1,0,1,1,3
650,1,25,3,1,2,0,0,0,1,1,2
651,1,15,2,2,2,1,1,0,0,1,3
652,1,20,3,3,1,1,1,1,1,1,5
653,1,16,2,3,1,1,0,0,1,0,2
654,1,16,2,3,1,1,0,0,0,1,2
655,0,22,3,1,2,1,0,0,0,0,1
656,1,19,1,3,2,0,0,1,1,0,2
657,0,15,3,3,2,0,1,0,1,0,2
658,1,19,3,1,1,0,0,1,1,0,2
659,0,15,3,1,1,0,0,1,0,1,2
660,0,24,1,3,1,0,1,1,1,1,4
661,0,18,2,1,1,1,1,1,1,0,4
662,0,15,1,1,2,0,0,1,0,1,2
663,0,17,1,1,1,1,1,1,0,0,3
664,0,16,1,2,2,0,0,0,1,1,2
665,1,21,1,2,1,1,0,0,0,0,1
666,0,22,1,2,1,1,0,1,1,0,3
667,0,19,2,3,2,1,0,1,1,1,4
668,1,17,1,2,2,1,1,0,1,0,3
669,1,21,2,2,2,1,1,0,0,1,3
670,1,23,1,3,1,0,1,0,1,0,2
671,1,21,1,2,1,0,0,0,1,0,1
672,1,23,1,1,1,1,1,0,0,1,3
673,1,20,2,3,2,1,0,1,0,0,2
674,1,24,2,3,2,0,0,0,0,1,1
675,0,17,2,1,2,0,0,1,0,0,1
676,1,23,1,1,1,1,1,1,1,0,4
677,1,16,2,2,1,0,0,1,1,0,2
678,0,25,3,2,1,0,0,0,0,1,1
679,1,15,1,2,1,1,0,0,0,0,1
680,0,19,3,3,2,1,1,1,1,1,5
681,0,22,3,1,1,1,1,1,0,0,3
682,0,17,3,1,1,1,0,1,1,1,4
683,1,16,3,1,2,1,1,0,0,1,3
684,0,20,2,3,1,0,0,0,0,0,0
685,0,22,2,1,2,0,1,1,1,0,3
686,0,22,1,3,2,0,0,0,0,0,0
687,1,18,2,3,2,1,0,0,0,1,2
688,1,18,1,2,1,0,1,0,1,0,2
689,0,16,2,3,1,1,0,0,1,1,3
690,1,16,2,1,2,0,1,1,0,0,2
691,0,20,2,2,2,0,1,0,0,0,1
692,1,20,3,1,1,1,0,0,1,0,2
693,1,18,3,3,2,1,0,0,0,1,2
694,1,19,2,2,1,1,1,0,0,0,2
695,1,22,3,3,1,0,0,1,0,1,2
696,0,17,1,3,2,1,1,0,1,0,3
697,0,18,3,3,1,0,1,0,0,1,2
698,0,21,1,3,1,1,0,1,0,0,2
699,0,17,1,3,2,0,0,1,0,1,2
700,0,21,3,3,2,0,1,1,1,1,4
701,0,21,1,2,2,0,0,0,0,1,1
702,0,16,1,1,2,1,1,1,1,1,5
703,0,17,1,2,1,1,0,0,1,1,3
704,0,21,3,1,2,0,1,1,1,1,4
705,0,18,3,2,1,1,0,0,0,0,1
706,1,22,2,3,2,0,0,0,0,1,1
707,0,25,3,3,1,0,1,0,0,0,1
708,0,17,2,2,1,1,0,0,1,1,3
709,0,16,2,2,2,0,0,0,0,0,0
710,0,20,1,3,2,1,1,1,0,1,4
711,1,18,3,2,2,1,1,1,0,1,4
712,1,24,2,2,1,1,1,0,1,0,3
713,0,23,2,2,1,1,1,1,1,0,4
714,1,24,1,1,2,0,0,0,1,0,1
715,0,21,1,1,2,0,0,0,1,1,2
716,0,24,1,2,2,0,0,0,1,1,2
717,1,23,1,2,2,1,0,0,1,0,2
718,1,19,3,2,1,1,1,1,1,1,5
719,1,18,1,3,1,1,0,1,0,0,2
720,1,20,3,1,2,1,1,1,0,0,3
721,0,25,2,1,1,1,1,0,1,0,3
722,1,21,1,1,1,1,1,1,0,1,4
723,1,23,1,3,1,0,0,1,1,0,2
724,0,16,1,2,1,1,0,0,1,1,3
725,1,22,1,1,1,1,0,1,0,1,3
726,1,20,1,2,1,0,0,0,0,1,1
727,1,24,1,3,2,1,1,1,1,0,4
728,0,21,3,3,2,1,1,0,1,0,3
729,0,25,1,3,1,1,0,0,1,1,3
730,1,19,3,2,1,1,0,0,1,1,3
731,1,18,3,3,1,1,0,0,0,0,1
732,0,19,3,2,2,1,1,0,1,0,3
733,1,19,3,3,2,1,0,1,1,1,4
734,0,23,3,3,1,1,1,1,0,1,4
735,0,18,3,3,2,1,0,0,1,1,3
736,1,20,3,2,1,0,1,1,0,0,2
737,1,21,2,3,1,1,1,0,1,1,4
738,1,19,1,2,2,0,1,0,0,1,2
739,0,15,2,3,2,1,0,1,1,1,4
740,1,21,3,2,2,1,0,0,0,1,2
741,0,20,3,2,2,1,0,0,0,0,1
742,0,21,1,2,1,1,0,1,0,1,3
743,0,21,1,3,1,0,1,0,0,1,2
744,1,18,3,2,2,1,0,1,0,1,3
745,1,25,2,3,1,1,0,1,0,1,3
746,1,23,2,3,1,1,0,1,1,1,4
747,1,21,1,1,2,0,0,0,1,1,2
748,1,25,3,3,1,1,0,1,1,1,4
749,1,24,1,1,1,1,0,1,1,1,4
750,1,21,2,3,2,1,0,0,1,0,2
751,1,19,3,1,1,0,0,1,1,1,3
752,0,18,3,2,2,0,0,0,0,1,1
753,0,19,2,2,1,1,1,0,0,1,3
754,0,19,2,2,2,1,0,0,1,0,2
755,1,22,3,1,2,0,0,0,0,0,0
756,0,16,2,1,1,0,0,1,0,1,2
757,1,25,2,3,2,0,0,1,0,1,2
758,1,19,3,1,1,0,1,1,1,0,3
759,0,22,1,2,1,1,0,1,0,0,2
760,1,15,2,1,2,1,1,0,0,0,2
761,0,23,3,1,1,0,1,0,0,1,2
762,1,21,2,3,1,0,0,1,0,1,2
763,1,18,3,3,2,0,0,1,0,0,1
764,0,23,3,3,2,0,0,1,1,0,2
765,0,15,1,2,1,1,1,1,0,1,4
766,0,21,1,2,2,1,0,1,1,0,3
767,1,25,1,3,2,0,1,0,0,1,2
768,1,25,1,1,1,0,0,0,1,0,1
769,1,20,2,1,1,1,1,1,0,1,4
770,0,15,3,1,2,1,0,0,1,0,2
771,1,24,1,3,1,1,1,0,0,1,3
772,1,24,1,2,2,1,0,1,1,0,3
773,1,24,1,2,2,1,1,0,1,1,4
774,1,24,3,2,2,0,1,1,1,1,4
775,1,23,3,2,1,1,0,0,1,1,3
776,0,17,1,1,1,0,0,1,1,1,3
777,0,15,2,3,1,0,1,0,1,0,2
778,1,15,1,3,1,1,0,0,0,0,1
779,1,25,3,1,1,1,0,0,0,0,1
780,0,15,1,3,1,1,1,1,1,0,4
781,1,24,1,1,2,0,0,0,1,1,2
782,1,25,3,3,1,0,0,1,1,0,2
783,1,23,1,1,1,1,1,0,0,0,2
784,0,24,1,2,2,0,1,1,0,1,3
785,1,21,2,3,2,0,1,0,1,1,3
786,0,21,1,3,2,0,1,1,0,0,2
787,1,21,3,1,2,1,1,0,1,1,4
788,1,17,3,3,1,1,0,1,0,0,2
789,1,21,1,1,1,1,0,0,0,0,1
790,1,20,2,3,2,0,0,0,1,1,2
791,0,18,2,3,2,1,0,1,1,1,4
792,1,19,2,3,1,1,1,1,0,0,3
793,1,24,1,1,2,1,0,1,1,0,3
794,1,24,3,3,2,1,0,0,1,0,2
795,0,21,3,1,1,0,1,1,1,0,3
796,1,24,2,2,1,0,0,1,0,1,2
797,0,22,1,1,1,1,0,0,1,0,2
798,0,23,3,1,1,0,0,1,0,0,1
799,0,19,1,3,1,0,0,0,1,1,2
800,0,22,3,1,2,1,0,1,0,1,3
801,1,17,3,2,2,0,1,0,1,0,2
802,1,18,2,2,2,0,1,0,1,0,2
803,0,16,3,3,1,1,0,1,1,0,3
804,0,22,1,3,2,0,0,0,0,0,0
805,0,18,3,1,1,1,0,1,0,0,2
806,0,24,1,2,2,0,1,0,0,1,2
807,0,18,1,2,2,0,1,0,0,0,1
808,1,19,1,1,1,0,0,0,1,1,2
809,1,20,2,1,1,0,1,1,1,1,4
810,1,25,1,3,2,0,1,1,1,1,4
811,1,18,1,3,2,1,0,1,0,0,2
812,0,25,3,3,1,0,0,1,1,0,2
